province_th,station_id_suggested,name_th,name_en,provider,network_suggested,lat,lon,connector_summary,address,suggested_verification_status,suggested_confidence,source_url
อุบลราชธานี,ptt_athirungroaj,ปตท หจก.อธิรุ่งโรจน์,PTT Athirungroaj,PTT,EV Station PluZ,15.27415,104.8049,"CCS2, Type 2",343 ม.3 ต.แจระแม อ.เมืองอุบลราชธานี อุบลราชธานี 34000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ลำปาง,ptt_thavornchai_lampang,ปตท หจก.ถาวรชัยลำปาง,PTT Thavornchai Lampang,PTT,EV Station PluZ,18.26242,99.46678,"CCS2, Type 2",26 ถ.ไฮเวย์ลำปาง-งาว ต.ชมพู อ.เมืองลำปาง ลำปาง 52100,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
น่าน,ptt_du_tai,ปตท ดู่ใต้,PTT Du Tai,PTT,EV Station PluZ,18.74738,100.7565,"CCS2, Type 2",110 ม.12 ถ.เจ้าฟ้า ต.ดู่ใต้ อ.เมืองน่าน น่าน 55000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
แพร่,ptt_polakred_service_energy,ปตท บจ.พลกฤตเซอร์วิสเอ็นเนอร์ยี่,PTT Polakred Service Energy,PTT,EV Station PluZ,18.11715,100.1531,"CCS2, Type 2",187 ม.8 ต.นาจักร อ.เมืองแพร่ แพร่ 54000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
สมุทรปราการ,ptt_srinakarin_bang_mueang,ปตท ศรีนครินทร์ บางเมือง,PTT Srinakarin - Bang Mueang,PTT,EV Station PluZ,13.61549,100.6214,"CCS2, Type 2",299/9  ม.5 ถ.ศรีนครินทร์ ต.บางเมือง อ.เมืองสมุทรปราการ สมุทรปราการ 10270,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
พะเยา,ptt_wansiri_service,ปตท หจก.วันสิริ เซอร์วิส (ซีโอดีโอ),PTT Wansiri Service,PTT,EV Station PluZ,19.14558,99.9122,CCS2,403/1  ถ.พหลโยธิน ต.แม่ต๋ำ อ.เมืองพะเยา พะเยา 56000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_siam_dankhuntod_oil,ปตท หจก.น้ำมันสยามด่านขุนทด,PTT Siam Dankhuntod Oil,PTT,EV Station PluZ,15.19828,101.7636,"CCS2, Type 2",459 ม.2 ถ.สีคิ้ว-ชัยภูมิ ต.ด่านขุนทด อ.ด่านขุนทด นครราชสีมา 30210,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
สมุทรปราการ,ptt_bangna_trat_km_16,ปตท บางนา-ตราด กม.16,PTT Bangna-Trat Km. 16,PTT,EV Station PluZ,13.6171,100.7475,"CCS2, Type 2",20/38  ม.7 ต.บางโฉลง อ.บางพลี สมุทรปราการ 10540,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,recall_isaan_isan_concept_at_khaoyai,รีคอล อีส้าน อีสาน คอนเซ็ปท์ แอท เขาใหญ่,Recall Isaan Isan Concept at Khaoyai,PTT,EV Station PluZ,14.5135,101.3756,"CCS2, Type 2",54 ม.17 ต.หมูสี อ.ปากช่อง นครราชสีมา 30130,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,terminal_21_korat,เทอร์มินอล 21 โคราช,Terminal 21 Korat,PTT,EV Station PluZ,14.98156,102.0882,"CCS2, Type 2",99 ถ.มิตรภาพ ต.ในเมือง อ.เมืองนครราชสีมา นครราชสีมา 30000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_lertsawat_petroleum,ปตท หจก.เลิศสวัสดิ์ปิโตรเลียม,PTT Lertsawat Petroleum,PTT,EV Station PluZ,14.8413842878,101.6097282937,CCS2,9/2-3 ม.12 ต.ลาดบัวขาว อ.สีคิ้ว นครราชสีมา 30340,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_meechok_power_plus,ปตท บจ.มีโชคเพาเวอร์ พลัส,PTT Meechok Power Plus,PTT,EV Station PluZ,14.95059,102.1236,"CCS2, Type 2",1868 ม.1 ต.หัวทะเล อ.เมืองนครราชสีมา นครราชสีมา 30000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_pongkit_2_hua_talay,ปตท บจ.พงษ์กิต (2) (หัวทะเล),PTT Pongkit (2) (Hua Talay),PTT,EV Station PluZ,14.9390950888,102.1335166336,"CCS2, Type 2",133 ม.1 ถ.ราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา นครราชสีมา 30000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
อุบลราชธานี,ptt_ubon_gateway,ปตท บจ.อุบล เกตเวย์,PTT Ubon Gateway,PTT,EV Station PluZ,15.2936,104.8374,"CCS2, Type 2",240/9  ม.4 ถ.ชยางกูร ต.ขามใหญ่ อ.เมืองอุบลราชธานี อุบลราชธานี 34000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_pak_chong,ปตท ปากช่อง,PTT Pak Chong,PTT,EV Station PluZ,14.655,101.3173,"CCS2, Type 2",496 ม.5 ต.กลางดง อ.ปากช่อง นครราชสีมา 30320,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_pongkit_techno,ปตท บจ.พงษ์กิต (เทคโน),PTT Pongkit (Techno),PTT,EV Station PluZ,14.9895,102.117,"CCS2, Type 2",1089 ถ.สุรนารายณ์ ต.ในเมือง อ.เมืองนครราชสีมา นครราชสีมา 30000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_arthit_highway,ปตท บจ.อาทิตย์ ไฮเวย์,PTT Arthit Highway,PTT,EV Station PluZ,14.99019,102.0538,CCS2,331 ม.1 ต.ปรุใหญ่ อ.เมืองนครราชสีมา นครราชสีมา 30000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_thanaphon_energy,ปตท บจ.ธนพล เอ็นเนอจี,PTT Thanaphon Energy,PTT,EV Station PluZ,14.97985,102.0814,"CCS2, Type 2",1202 ถ.มิตรภาพ ต.ในเมือง อ.เมืองนครราชสีมา นครราชสีมา 30000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_mung_pan_dee,ปตท บจ.มุ่งปั้นดี,PTT Mung Pan Dee,PTT,EV Station PluZ,14.371933,101.863677,"CCS2, Type 2",111 ม.6 ถ.สาย 304 ต.ไทยสามัคคี อ.วังน้ำเขียว นครราชสีมา 30370,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_khao_yai_station,ปตท บจ.เขาใหญ่,PTT Khao Yai Station,PTT,EV Station PluZ,14.6113,101.4041,"CCS2, Type 2",95 ม.6 ต.หนองน้ำแดง อ.ปากช่อง นครราชสีมา 30130,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
อุบลราชธานี,ptt_bypass_ubon_service,ปตท หจก.เลี่ยงเมืองอุบลบริการ,PTT Bypass Ubon Service,PTT,EV Station PluZ,15.2227,104.8192,"CCS2, Type 2",181 ม.7 ถ.เลี่ยงเมือง ต.แจระแม อ.เมืองอุบลราชธานี อุบลราชธานี 34000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
อุบลราชธานี,ptt_petroleum_oil_ubon,ปตท บจ.ปิโตรเลียมน้ำมัน (อุบล),PTT Petroleum Oil (Ubon),PTT,EV Station PluZ,15.16242,104.8554,"CCS2, Type 2",284/1 ม.8 ม.8 ต.แสนสุข อ.วารินชำราบ อุบลราชธานี 34190,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
อุบลราชธานี,ptt_s_sumalee_energy,ปตท หจก.ส.สุมาลี เอ็นเนอจี้,PTT S.Sumalee Energy,PTT,EV Station PluZ,15.18755,104.8155,"CCS2, Type 2",3 ม.2 ต.โนนผึ้ง อ.วารินชำราบ อุบลราชธานี 34190,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ขอนแก่น,ptt_nam_phong,ปตท น้ำพอง,PTT Nam Phong,PTT,EV Station PluZ,16.67157,102.8049,"CCS2, Type 2",16 ม.12 ต.ม่วงหวาน อ.น้ำพอง ขอนแก่น 40310,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงใหม่,ptt_chiang_mai_sahachai_wattana,ปตท หจก.เชียงใหม่สหชัยวัฒนา,PTT Chiang Mai Sahachai Wattana,PTT,EV Station PluZ,18.8337,99.05698,"CCS2, Type 2",157 ม.5 ต.สันนาเม็ง อ.สันทราย เชียงใหม่ 50210,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงใหม่,ptt_ruammit_petroleum,ปตท บจ.ร่วมมิตรปิโตรเลียม,PTT Ruammit Petroleum,PTT,EV Station PluZ,18.76443,98.99155,"CCS2, Type 2",168 ม.2 ต.ป่าแดด อ.เมืองเชียงใหม่ เชียงใหม่ 50100,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ลำปาง,ptt_thanunta_petroleum,ปตท หจก.ธนันท์ตา ปิโตรเลียม,PTT Thanunta Petroleum,PTT,EV Station PluZ,18.30365,99.52439,"CCS2, Type 2",133/3  ม.1 ถ.ลำปาง-งาว ต.พิชัย อ.เมืองลำปาง ลำปาง 52000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
หนองคาย,ptt_nong_khai,ปตท เมืองหนองคาย,PTT Nong Khai,PTT,EV Station PluZ,17.86014,102.7498,"CCS2, Type 2",720/1  ม.9 ต.โพธิ์ชัย อ.เมืองหนองคาย หนองคาย 43000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
อุดรธานี,ptt_jiang_asawan_nongkhai,ปตท บจ.เจียง-อัศวรรณ หนองคาย,PTT Jiang-Asawan Nongkhai,PTT,EV Station PluZ,17.39081,102.771,"CCS2, Type 2",129/6  ม.5 ต.หมากแข้ง อ.เมืองอุดรธานี อุดรธานี 41000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ขอนแก่น,lpg_auto_station_maliwan_gas,ปตท แอลพีจี ออโต้  บจ.มะลิวัลย์ แก๊ส,LPG Auto Station Maliwan Gas,PTT,EV Station PluZ,16.44975,102.7581,"CCS2, Type 2",298-298/1  ม.1 ถ.มะลิวัลย์  ต.บ้านเป็ด อ.เมืองขอนแก่น ขอนแก่น 40000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
อุดรธานี,tops_plaza_nong_han,ท็อปส์ พลาซ่า หนองหาน,Tops Plaza Nong Han,PTT,EV Station PluZ,17.3620228623,103.1136077405,"CCS2, Type 2",109 ม.11 ต.หนองหาน อ.หนองหาน อุดรธานี 41130,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ขอนแก่น,tops_plaza_phon,ท็อปส์ พลาซ่า พล,Tops Plaza Phon,PTT,EV Station PluZ,15.8075126541,102.6070210985,"CCS2, Type 2",6 ถ.มิตรภาพ ต.เมืองพล อ.พล ขอนแก่น 40120,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ลำปาง,ptt_phaknhua_chaiwatthana,ปตท บจ.ภาคเหนือชัยวัฒนา,PTT Phaknhua-Chaiwatthana,PTT,EV Station PluZ,18.3185,99.35358,"CCS2, Type 2",198 ม.8 ต.ห้างฉัตร อ.ห้างฉัตร ลำปาง 52190,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงใหม่,ptt_sukhum_service_mae_rim,ปตท บจ.สุขุมเซอร์วิส (แม่ริม),PTT Sukhum Service (Mae Rim),PTT,EV Station PluZ,18.921642806,98.940921182,"CCS2, Type 2",5/15 ม.7 ต.ริมใต้ อ.แม่ริม เชียงใหม่ 50180,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงราย,ptt_maesuai_petroleum,ปตท หจก.แม่สรวยปิโตรเลียม,PTT Maesuai Petroleum,PTT,EV Station PluZ,19.64762,99.53193,"CCS2, Type 2",18 ม.7 ถ.เชียงราย-เชียงใหม่ ต.แม่สรวย อ.แม่สรวย เชียงราย 57180,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงใหม่,ptt_panapon_chiang_mai,ปตท หจก.พนาพนธ์เชียงใหม่,PTT Panapon Chiang Mai,PTT,EV Station PluZ,18.59748,98.88838,"CCS2, Type 2",274/1   ม.15 ต.ยุหว่า อ.สันป่าตอง เชียงใหม่ 50120,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
พะเยา,tops_plaza_phayao,ท็อปส์ พลาซ่า พะเยา,Tops Plaza Phayao,PTT,EV Station PluZ,19.18594,99.89379,"CCS2, Type 2",500 ม.12 ต.ท่าวังทอง อ.เมืองพะเยา พะเยา 56000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงราย,ptt_double_nine_station,ปตท บจ.ดับเบิ้ล นายน์,PTT Double Nine Station,PTT,EV Station PluZ,19.87967,99.85059,"CCS2, Type 2",444 ม.1 ต.ท่าสาย อ.เมืองเชียงราย เชียงราย 57000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
พะเยา,phutubdao_park,ภูทับดาวปาร์ค,Phutubdao Park,PTT,EV Station PluZ,19.28664,100.0417,"CCS2, Type 2",66 ม.10 ต.ป่าซาง อ.ดอกคำใต้ พะเยา 56120,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
พะเยา,m2_hotel_waterside,โรงแรมเอ็ม2 วอเตอร์ไซด์,M2 Hotel Waterside,PTT,EV Station PluZ,19.17977,99.88551,"CCS2, Type 2",629 ม.17 ต.บ้านต๋อม อ.เมืองพะเยา พะเยา 56000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ลำปาง,ptt_a_ka_nong_petroleum,ปตท หจก.เอกะหน่อง ปิโตรเลียม,PTT A Ka Nong Petroleum,PTT,EV Station PluZ,18.25737,99.5429,"CCS2, Type 2",1141 ม.1 ต.พระบาท อ.เมืองลำปาง ลำปาง 52000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
พะเยา,ptt_fusang_service_2008,ปตท บจ.ฟูแสงเซอร์วิส 2008,PTT Fusang Service 2008,PTT,EV Station PluZ,19.20316,99.87131,CCS2,315 ม.15 ถ.พหลโยธิน ต.บ้านต๋อม อ.เมืองพะเยา พะเยา 56000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงราย,ptt_chiang_rai_kittirat_wiang_pa_pao,ปตท หจก.เชียงรายกิตติรัตน์ (เวียงป่าเป้า),PTT Chiang Rai Kittirat (Wiang Pa Pao),PTT,EV Station PluZ,19.337277,99.509673,"CCS2, Type 2",153 ม.5 ต.เวียง อ.เวียงป่าเป้า เชียงราย 57170,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงราย,ptt_piyaporn_charoenkit,ปตท หจก.ปิยะพรเจริญกิจ,PTT Piyaporn Charoenkit,PTT,EV Station PluZ,20.41828,99.88473,"CCS2, Type 2",129 ม.4 ถ.พหลโยธิน ต.เวียงพางคำ อ.แม่สาย เชียงราย 57130,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงราย,ptt_panya_motors_7_rimkok,ปตท หจก.ปัญญามอเตอร์ส (7) ริมกก,PTT Panya Motors (7) Rimkok,PTT,EV Station PluZ,19.93156,99.84429,"CCS2, Type 2",483 ม.5 ถ.พหลโยธิน ต.ริมกก อ.เมืองเชียงราย เชียงราย 57100,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงใหม่,ptt_panapon_chiang_mai_hang_dong,ปตท หจก.พนาพนธ์เชียงใหม่ (หางดง),PTT Panapon Chiang Mai (Hang Dong),PTT,EV Station PluZ,18.69422,98.92603,"CCS2, Type 2","29/4,29/6 ม.1 ต.หางดง อ.หางดง เชียงใหม่ 50230",public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
พิษณุโลก,ptt_siharat_petroleum,ปตท หจก.สีหราช ปิโตรเลียม,PTT Siharat Petroleum,PTT,EV Station PluZ,16.8148,100.2368,CCS2,34/9  ม.10 ต.วัดจันทร์ อ.เมืองพิษณุโลก พิษณุโลก 65000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
แพร่,ptt_phrae,ปตท แพร่,PTT Phrae,PTT,EV Station PluZ,17.95653,100.0685,"CCS2, Type 2",275 ม.10 ถ.อุตรดิตถ์ ต.แม่จั๊วะ อ.เด่นชัย แพร่ 54110,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
พิษณุโลก,ptt_chang_phinij_petroleum,ปตท หจก.ช่างพินิจปิโตรเลี่ยม,PTT Chang Phinij Petroleum,PTT,EV Station PluZ,16.7272,100.1792,"CCS2, Type 2",57 ม.10 ถ.พิษณุโลก-นครสวรรค์ ต.บางระกำ อ.บางระกำ พิษณุโลก 65140,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,lpg_auto_station_p_o_oil_nong_ngu_luam,สน.แอลพีจี บจก.พี โอ ออยล์ (หนองงูเหลือม),LPG Auto Station P O Oil (Nong Ngu Luam),PTT,EV Station PluZ,15.07816,102.2218,"CCS2, Type 2",103 ม.15 ต.หนองงูเหลือม อ.เฉลิมพระเกียรติ นครราชสีมา 30000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,lpg_auto_station_lueangpirom_gas,ปตท แอลพีจี ออโต้  หจก.เหลืองภิรมย์แก๊ส,LPG Auto Station Lueangpirom Gas,PTT,EV Station PluZ,14.85111,101.6507,"CCS2, Type 2",224 ม.6 ต.ลาดบัวขาว อ.สีคิ้ว นครราชสีมา 30340,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
