name_th,name_en,provider,network_suggested,connector_summary,address,province_th,lat,lon,style,source_url
ปตท บจ.พี.เอ็น.เอช.ดับบลิว ปิโตรเลียม,PTT P.N.H.W. Petroleum,PTT,EV Station PluZ,CCS2,131 ม.2 ต.หนองตะพาน อ.บ้านค่าย ระยอง 21120,ระยอง,12.75092,101.2864,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.รัตนปิโตรเลียม,PTT Rattana Petroleum,PTT,EV Station PluZ,CCS2,44/2 ม.1 ถ.ระยอง-บ้านค่าย ต.หนองตะพาน อ.บ้านค่าย ระยอง 21120,ระยอง,12.73435,101.2822,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.วงษ์ไอริณ,PTT Wong Irin,PTT,EV Station PluZ,CCS2,99 ม.2 ต.ท่าเสา อ.ไทรโยค กาญจนบุรี 71150,กาญจนบุรี,14.211098,99.086707,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.จอมทองสิขรีปิโตรเลียม,PTT Jomthong Sikharee Petroluem,PTT,EV Station PluZ,CCS2,126 ม.9 ต.เทพกระษัตรี อ.ถลาง ภูเก็ต 83110,ภูเก็ต,8.0751,98.34411,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.พี.โอ.เอ ปิโตรเลี่ยมชัยนาท,PTT P.O.A Petroleum Chainat,PTT,EV Station PluZ,CCS2,335/3  ถ.พหลโยธิน ต.เขาท่าพระ อ.เมืองชัยนาท ชัยนาท 17000,ชัยนาท,15.22257,100.1724,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.พี ที ไพรัช ปิโตรเลียม เซอร์วิส,PTT P.T. Pairat Petroleum Service,PTT,EV Station PluZ,CCS2,109 ม.17 ถ.นครสวรรค์-พิษณุโลก ต.เนินปอ อ.สามง่าม พิจิตร 66140,พิจิตร,16.4023,100.1411,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ไพศาลพลังไทย กาญจนา,PTT Phaisan Phalang Thai Kanchana,PTT,EV Station PluZ,CCS2,30 ม.9 ต.คลองข่อย อ.ปากเกร็ด นนทบุรี 11120,นนทบุรี,13.97389,100.4364,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.แม่กรณ์ปิโตรเลียม (แม่ลาว),PTT Maekorn Petroleum (Mae Lao),PTT,EV Station PluZ,CCS2,226 ม.7 ต.ป่าก่อดำ อ.แม่ลาว เชียงราย 57250,เชียงราย,19.76896,99.73646,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท วงแหวนตะวันตก (ขาเข้า),PTT Western Ring (IB),PTT,EV Station PluZ,CCS2,58 ม.1 ต.บางกระบือ อ.สามโคก ปทุมธานี 12160,ปทุมธานี,14.110117,100.533324,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท พระราม 2 (ขาเข้า),PTT Rama 2 (IB),PTT,EV Station PluZ,"CCS2, Type 2",59/29  ม.1 ต.คอกกระบือ อ.เมืองสมุทรสาคร สมุทรสาคร 74000,สมุทรสาคร,13.5935,100.3381,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บรมราชชนนี ขาเข้า,PTT Borommaratchachonnani (IB),PTT,EV Station PluZ,"CCS2, Type 2",302/1  ถ.บรมราชชนนี แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,กรุงเทพมหานคร,13.78268,100.4156,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ราชพฤกษ์ 1,PTT Ratchaphruek 1,PTT,EV Station PluZ,"CCS2, Type 2",31/12  ม.13 แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170,กรุงเทพมหานคร,13.76199,100.4445,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท เอกมัย- รามอินทรา,PTT Ekkamai-Ramintra,PTT,EV Station PluZ,CCS2,31/1  ถ.ประดิษฐ์มนูธรรม แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,กรุงเทพมหานคร,13.79816,100.6133,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.เจ.เอ็ม.ดับเบิ้ลยู. หัวหิน,PTT J.M.W. Hua Hin,PTT,EV Station PluZ,CCS2,11/48 ซ.หมู่บ้านสมอโพรง  ต.หัวหิน อ.หัวหิน ประจวบคีรีขันธ์ 77110,ประจวบคีรีขันธ์,12.5960570505,99.9454595827,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ราษฎร์บูรณะ ขาออก,PTT Ratburana (OB),PTT,EV Station PluZ,"CCS2, Type 2",193/2  ถ.ราษฎร์บูรณะ แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140,กรุงเทพมหานคร,13.68338,100.4991,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท แยกสันติสุข,PTT Santisuk Intersection,PTT,EV Station PluZ,CCS2,52/78  ถ.ปทุมสามโคก ต.บางปรอก อ.เมืองปทุมธานี ปทุมธานี 12000,ปทุมธานี,14.03048,100.5316,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
บิ๊กซี เอ็กซ์ตร้า อ่อนนุช,BigC Extra On Nut,PTT,EV Station PluZ,CCS2,114 ซ.ซ.สุขุมวิท 77 (อ่อนนุช 1)  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,กรุงเทพมหานคร,13.70976,100.601391,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท พุทธมณฑล สาย 5,PTT Phutthamonthon Sai 5,PTT,EV Station PluZ,"CCS2, Type 2",73/1  ม.10 ต.ไร่ขิง อ.สามพราน นครปฐม 73210,นครปฐม,13.72965,100.2987,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท โรงแยกก๊าซระยอง,PTT Rayong Gas Separation Plant,PTT,EV Station PluZ,"CCS2, Type 2",555/1 ถ.สุขุมวิท ต.มาบตาพุด อ.เมืองระยอง ระยอง 21150,ระยอง,12.72254,101.1519,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท คลองหลวง กม.6,PTT Khlong Luang km.6,PTT,EV Station PluZ,"CCS2, Type 2",10/12 ม.7 ต.คลองสาม อ.คลองหลวง ปทุมธานี 12120,ปทุมธานี,14.06657,100.6729,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.รวมนคร,PTT Ruam Nakhon,PTT,EV Station PluZ,CCS2,4/29 ม.4 ถ.นครชัยศรี-ห้วยพลู ต.ดอนแฝก อ.นครชัยศรี นครปฐม 73120,นครปฐม,13.86127,100.2065,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท พุทธมณฑล สาย 4,PTT Phutthamonthon Sai 4,PTT,EV Station PluZ,"CCS2, Type 2",187 ม.7 ต.กระทุ่มล้ม อ.สามพราน นครปฐม 73220,นครปฐม,13.74399,100.328,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท เมืองขอนแก่น,PTT Muang Khon Kaen,PTT,EV Station PluZ,"CCS2, Type 2",117/2  ม.7 ถ.มิตรภาพ ต.ในเมือง อ.เมืองขอนแก่น ขอนแก่น 40000,ขอนแก่น,16.41328,102.8187,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท สารภี,PTT Saraphi,PTT,EV Station PluZ,CCS2,75 ถ.สายเชียงใหม่-ลำปาง ต.สารภี อ.สารภี เชียงใหม่ 50140,เชียงใหม่,18.66963,99.05187,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หาดใหญ่ใน (ขาออก),PTT Hat Yai Nai (OB),PTT,EV Station PluZ,"CCS2, Type 2",1121 ถ.เพชรเกษม ต.หาดใหญ่ อ.หาดใหญ่ สงขลา 90110,สงขลา,7.000368,100.4524,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ทุ่งครุ,PTT Thung Khru,PTT,EV Station PluZ,"CCS2, Type 2",26/4  ถ.เลียบทางด่วน แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140,กรุงเทพมหานคร,13.62046,100.4923,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท แยกประชาอุทิศ ลาดพร้าว,PTT Pracha Uthit- Ladprao,PTT,EV Station PluZ,"CCS2, Type 2",359 ถ.ประดิษฐ์มนูธรรม แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,กรุงเทพมหานคร,13.77151,100.6052,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท สระบุรี (ฮับ),PTT Saraburi (HUB),PTT,EV Station PluZ,CCS2,112 ม.2 ถ.มิตรภาพ ต.ตลิ่งชัน อ.เมืองสระบุรี สระบุรี 18000,สระบุรี,14.5537,100.9662,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท พัฒนาการ (ขาออก),PTT Phatthanakan (OB),PTT,EV Station PluZ,"CCS2, Type 2",315/4  ถ.พัฒนาการ แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,กรุงเทพมหานคร,13.72503,100.6579,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท พหลโยธิน กม.25,PTT Phahon Yothin km.25,PTT,EV Station PluZ,"CCS2, Type 2",438 ถ.พหลโยธิน แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,กรุงเทพมหานคร,13.93426,100.6257,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท อาร์เอ็ม ระยอง-บ้านฉาง กม.192 (ขาเข้า),PTT RM Rayong-Banchang Km.192 (IB),PTT,EV Station PluZ,"CCS2, Type 2",76/119  ม.3 ต.พลา อ.บ้านฉาง ระยอง 21130,ระยอง,12.716053,101.040015,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ปิโตรเลียม (ถ.347),PTT Petroleum (347 Rd.),PTT,EV Station PluZ,"CCS2, Type 2",99 ม.1 ต.เชียงรากน้อย อ.สามโคก ปทุมธานี 12160,ปทุมธานี,14.11337,100.5696,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.มานะชัยบริการ,PTT Manachai Services,PTT,EV Station PluZ,"CCS2, Type 2",30/7  ม.4 ถ.เพชรเกษม ต.ท่าตำหนัก อ.นครชัยศรี นครปฐม 73120,นครปฐม,13.7799299317,100.1757139401,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ไนซ์ปิโตรเลียมเพชรบุรี,PTT Nice Petroleum Phetchaburi,PTT,EV Station PluZ,"CCS2, Type 2",159 ม.5 ต.ไร่ส้ม อ.เมืองเพชรบุรี เพชรบุรี 76000,เพชรบุรี,13.11808,99.90798,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.เฮงปิโตรเลียมบริการ 2013,PTT Heng Petroleum Services 2013,PTT,EV Station PluZ,"CCS2, Type 2",99 ม.2 ต.ท่ายาง อ.ท่ายาง เพชรบุรี 76130,เพชรบุรี,12.987537,99.9009,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท เพื่อสวัสดิการกรมพัฒนนาสังคมและสวัสดิการ,PTT Department of Social Development and Welfare,PTT,EV Station PluZ,CCS2,17 ม.2 ต.รังสิต อ.ธัญบุรี ปทุมธานี 12110,ปทุมธานี,14.01573,100.7224,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท กาญจนาภิเษก-บางบอน,PTT Kanchanapisek-Bangbon,PTT,EV Station PluZ,"CCS2, Type 2",97/1  ถ.กาญจนาภิเษก แขวงบางบอนเหนือ เขตบางบอน กรุงเทพมหานคร 10150,กรุงเทพมหานคร,13.67203,100.4051,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท มีนบุรี,PTT Minburi,PTT,EV Station PluZ,"CCS2, Type 2",75/5  ถ.สุวินทวงศ์ แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,กรุงเทพมหานคร,13.81944,100.7339,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท เทพรักษ์,PTT Theprak,PTT,EV Station PluZ,"CCS2, Type 2",202/1  ถ.เทพรักษ์ แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,กรุงเทพมหานคร,13.8787,100.6306,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท เมืองขอนแก่น 2,PTT Muang Khon Kaen 2,PTT,EV Station PluZ,CCS2,92/120  ม.14 ต.ในเมือง อ.เมืองขอนแก่น ขอนแก่น 40000,ขอนแก่น,16.45157,102.831,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.ภูฆัง ออยล์,PTT Phukang Oil,PTT,EV Station PluZ,CCS2,98 ม.5 ต.ไทรน้อย อ.ไทรน้อย นนทบุรี 11150,นนทบุรี,13.981987,100.320942,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
โรงพยาบาลเปาโล รังสิต,Paolo Rangsit Hospital,PTT,EV Station PluZ,CCS2,01/11 ถ.รังสิต-นครนายก ต.ประชาธิปัตย์ อ.ธัญบุรี ปทุมธานี 12130,ปทุมธานี,13.98588,100.6203,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท สิชล,PTT Sichon,PTT,EV Station PluZ,"CCS2, Type 2",40 ม.9 ต.สิชล อ.สิชล นครศรีธรรมราช 80120,นครศรีธรรมราช,9.003069,99.881517,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ภูเก็ต,PTT Phuket,PTT,EV Station PluZ,"CCS2, Type 2",205 ม.1 ต.ศรีสุนทร อ.ถลาง ภูเก็ต 83110,ภูเก็ต,8.004379,98.343311,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท สวนผัก,PTT Suan Phak,PTT,EV Station PluZ,"CCS2, Type 2",79 ถ.สวนผัก แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,กรุงเทพมหานคร,13.79249,100.4223,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
บิ๊กซี ฟู้ดเพลส ประชาอุทิศ 90,BigC Foodplace Pracha Uthit 90,PTT,EV Station PluZ,CCS2,523-523/3   ถ.ประชาอุทิศ  แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140,กรุงเทพมหานคร,13.611668,100.51071,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.มานะ-เสริมพล ปิโตรเลียม,PTT Mana Sermpol Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",256-257  ม.7 ถ.โชคชัย-เดชอุดม ต.หนองโบสถ์ อ.นางรอง บุรีรัมย์ 31110,บุรีรัมย์,14.63481,102.7458,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท สนามบินกระบี่,PTT Krabi International Airport,PTT,EV Station PluZ,"CCS2, Type 2",327/4 ม.2 ต.กระบี่น้อย อ.เมืองกระบี่ กระบี่ 81000,กระบี่,8.102694,98.96747,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ชะอำ,PTT Cha Am,PTT,EV Station PluZ,CCS2,499/1  ถ.เพชรเกษม(ชะอำ) ต.ชะอำ อ.ชะอำ เพชรบุรี 76120,เพชรบุรี,12.79909,99.97192,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ประชาชื่น 2,PTT Phachachuen 2,PTT,EV Station PluZ,"CCS2, Type 2",7/4 ถ.ประชาชื่นนนทบุรี ต.ท่าทราย อ.เมืองนนทบุรี นนทบุรี 11000,นนทบุรี,13.873997,100.548587,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.สร้างเสริมเพิ่มทรัพย์,PTT Sangsermpermsub,PTT,EV Station PluZ,CCS2,96 ม.1 ต.หนองน้ำใหญ่ อ.ผักไห่ พระนครศรีอยุธยา 13280,พระนครศรีอยุธยา,14.484461,100.336576,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท วิภาวดี (เดิม-สวัสดิการ ร.1 รอ.),PTT Vibhavadi,PTT,EV Station PluZ,"CCS2, Type 2",181 ถ.วิภาวดีรังสิต แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,กรุงเทพมหานคร,13.77939,100.5561,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ราชบุรี,PTT Ratchaburi,PTT,EV Station PluZ,"CCS2, Type 2",218 ม.4 ต.อ่างทอง อ.เมืองราชบุรี ราชบุรี 70000,ราชบุรี,13.46737,99.79778,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ท่ามะขาม,PTT Tha Makham,PTT,EV Station PluZ,CCS2,116/2  ม.5 ต.ท่ามะขาม อ.เมืองกาญจนบุรี กาญจนบุรี 71000,กาญจนบุรี,14.05405,99.50109,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.เกียรติสมพงษ์,PTT Kiat Sompong,PTT,EV Station PluZ,"CCS2, Type 2",17/3  ม.7 ถ.พหลโยธิน ต.ยางตาล อ.โกรกพระ นครสวรรค์ 60170,นครสวรรค์,15.57763,100.1254,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ธรรมรัตน์ ปิโตรเลียม,PTT Thamrat Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",8/13 ม.13 ถ.พหลโยธิน ต.นครชุม อ.เมืองกำแพงเพชร กำแพงเพชร 62000,กำแพงเพชร,16.4706638906,99.4957314292,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หายยา,PTT Haiya,PTT,EV Station PluZ,"CCS2, Type 2",235/1  ถ.มหิดล ต.ช้างคลาน อ.เมืองเชียงใหม่ เชียงใหม่ 50100,เชียงใหม่,18.76797,98.98354,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท สันกำแพง,PTT San Kamphaeng,PTT,EV Station PluZ,"CCS2, Type 2",209 ม.8 ต.ต้นเปา อ.สันกำแพง เชียงใหม่ 50130,เชียงใหม่,18.75111,99.06314,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.พงษ์กิต (7) (บายพาส),PTT Pongkit (7) (Bypass),PTT,EV Station PluZ,"CCS2, Type 2",325 ม.1 ต.ปรุใหญ่ อ.เมืองนครราชสีมา นครราชสีมา 30000,นครราชสีมา,14.98612,102.0522,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.การดี ปิโตรเลียม,PTT Karndee Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",244 ถ.อุบล-ตระการ ต.ในเมือง อ.เมืองอุบลราชธานี อุบลราชธานี 34000,อุบลราชธานี,15.2522,104.8806,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ลำพูน-ดอยติ,PTT Lumpoon-Doiti,PTT,EV Station PluZ,"CCS2, Type 2",352 ม.2 ต.เวียงยอง อ.เมืองลำพูน ลำพูน 51000,ลำพูน,18.56265,99.0335,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ธ.1994 ปิโตรเลียม (ขาออก),PTT Tor. 1994 Petroleum (OB),PTT,EV Station PluZ,"CCS2, Type 2",163/2  ม.12 ถ.พหลโยธิน ต.ล้อมแรด อ.เถิน ลำปาง 52160,ลำปาง,17.61983,99.23365,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ส.สมบูรณ์ทรัพย์ปิโตรเลียม,PTT Sor Somboonsub Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",129 ม.10 ถ.เพชรเกษม ต.สามกระทาย อ.กุยบุรี ประจวบคีรีขันธ์ 77150,ประจวบคีรีขันธ์,12.10257,99.85311,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
