source_project,source_file,source_date_be,area_type,province_code,province,area_code,area_name,male,female,population,households
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,49,มุกดาหาร,49,มุกดาหาร,174321,175297,349618,127885
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,50,เชียงใหม่,50,เชียงใหม่,863853,934735,1798588,916688
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,51,ลำพูน,51,ลำพูน,188407,206537,394944,195859
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,52,ลำปาง,52,ลำปาง,337970,359709,697679,310381
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,53,อุตรดิตถ์,53,อุตรดิตถ์,210378,222897,433275,180771
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,54,แพร่,54,แพร่,200080,217400,417480,187264
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,55,น่าน,55,น่าน,233287,235081,468368,182521
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,56,พะเยา,56,พะเยา,218714,233250,451964,207675
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,57,เชียงราย,57,เชียงราย,627342,668580,1295922,603627
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,58,แม่ฮ่องสอน,58,แม่ฮ่องสอน,145888,142869,288757,125752
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,60,นครสวรรค์,60,นครสวรรค์,489891,518471,1008362,442181
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,61,อุทัยธานี,61,อุทัยธานี,155460,163508,318968,133605
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,62,กำแพงเพชร,62,กำแพงเพชร,342943,354029,696972,294361
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,63,ตาก,63,ตาก,355835,348659,704494,246226
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,64,สุโขทัย,64,สุโขทัย,274878,294384,569262,231232
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,65,พิษณุโลก,65,พิษณุโลก,407212,428268,835480,377281
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,66,พิจิตร,66,พิจิตร,249551,263599,513150,209014
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,67,เพชรบูรณ์,67,เพชรบูรณ์,468503,485914,954417,385840
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,70,ราชบุรี,70,ราชบุรี,417614,444265,861879,355963
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,71,กาญจนบุรี,71,กาญจนบุรี,447296,449377,896673,375254
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,72,สุพรรณบุรี,72,สุพรรณบุรี,393212,424637,817849,327755
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,73,นครปฐม,73,นครปฐม,443582,482736,926318,449769
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,74,สมุทรสาคร,74,สมุทรสาคร,281271,306096,587367,327860
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,75,สมุทรสงคราม,75,สมุทรสงคราม,88237,97044,185281,78449
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,76,เพชรบุรี,76,เพชรบุรี,232868,251259,484127,241198
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,77,ประจวบคีรีขันธ์,77,ประจวบคีรีขันธ์,269387,282056,551443,299161
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,80,นครศรีธรรมราช,80,นครศรีธรรมราช,754930,775505,1530435,624899
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,81,กระบี่,81,กระบี่,240718,244078,484796,212135
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,82,พังงา,82,พังงา,132518,133135,265653,127398
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,83,ภูเก็ต,83,ภูเก็ต,203101,229363,432464,303160
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,84,สุราษฎร์ธานี,84,สุราษฎร์ธานี,528853,547124,1075977,559761
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,85,ระนอง,85,ระนอง,96644,95843,192487,99564
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,86,ชุมพร,86,ชุมพร,249489,257367,506856,259113
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,90,สงขลา,90,สงขลา,693970,735155,1429125,602196
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,91,สตูล,91,สตูล,161425,163135,324560,113018
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,92,ตรัง,92,ตรัง,309150,324266,633416,249101
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,93,พัทลุง,93,พัทลุง,251652,266414,518066,211206
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,94,ปัตตานี,94,ปัตตานี,368511,376460,744971,212220
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,95,ยะลา,95,ยะลา,276503,279584,556087,183827
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,96,นราธิวาส,96,นราธิวาส,409752,418594,828346,235934
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,18723,19685,38408,18848
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1002,ท้องถิ่นเขตดุสิต,38627,34161,72788,32986
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1003,ท้องถิ่นเขตหนองจอก,91099,96888,187987,75862
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1004,ท้องถิ่นเขตบางรัก,18890,21659,40549,36129
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1005,ท้องถิ่นเขตบางเขน,85121,98185,183306,121013
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1006,ท้องถิ่นเขตบางกะปิ,63664,77237,140901,118394
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1007,ท้องถิ่นเขตปทุมวัน,18121,20439,38560,32604
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1008,ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,17516,18384,35900,19645
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1009,ท้องถิ่นเขตพระโขนง,37420,46594,84014,66641
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1010,ท้องถิ่นเขตมีนบุรี,65987,74462,140449,68253
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1011,ท้องถิ่นเขตลาดกระบัง,85793,96398,182191,109355
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1012,ท้องถิ่นเขตยานนาวา,33350,39063,72413,54497
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1013,ท้องถิ่นเขตสัมพันธวงศ์,8901,9428,18329,12955
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1014,ท้องถิ่นเขตพญาไท,29646,32629,62275,46986
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1015,ท้องถิ่นเขตธนบุรี,44400,51266,95666,66171
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1016,ท้องถิ่นเขตบางกอกใหญ่,27277,31527,58804,33220
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1017,ท้องถิ่นเขตห้วยขวาง,37312,46726,84038,96716
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1018,ท้องถิ่นเขตคลองสาน,28302,33530,61832,44636
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1019,ท้องถิ่นเขตตลิ่งชัน,46691,53742,100433,45460
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1020,ท้องถิ่นเขตบางกอกน้อย,43891,51091,94982,56273
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1021,ท้องถิ่นเขตบางขุนเทียน,86730,98430,185160,96463
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1022,ท้องถิ่นเขตภาษีเจริญ,55545,65435,120980,70059
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1023,ท้องถิ่นเขตหนองแขม,71556,83134,154690,66694
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1024,ท้องถิ่นเขตราษฎร์บูรณะ,35180,38912,74092,41018
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1025,ท้องถิ่นเขตบางพลัด,38591,47200,85791,62326
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1026,ท้องถิ่นเขตดินแดง,49934,59113,109047,66035
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1027,ท้องถิ่นเขตบึงกุ่ม,61151,73741,134892,79796
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1028,ท้องถิ่นเขตสาทร,32657,36562,69219,45276
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1029,ท้องถิ่นเขตบางซื่อ,53473,63127,116600,79285
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1030,ท้องถิ่นเขตจตุจักร,70449,84064,154513,142403
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1031,ท้องถิ่นเขตบางคอแหลม,35184,39662,74846,41120
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1032,ท้องถิ่นเขตประเวศ,85623,97939,183562,108246
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1033,ท้องถิ่นเขตคลองเตย,41567,46737,88304,83975
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1034,ท้องถิ่นเขตสวนหลวง,55875,67416,123291,87941
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1035,ท้องถิ่นเขตจอมทอง,64776,73093,137869,74897
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1036,ท้องถิ่นเขตดอนเมือง,82262,83332,165594,83940
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1037,ท้องถิ่นเขตราชเทวี,29052,32325,61377,58105
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1038,ท้องถิ่นเขตลาดพร้าว,49981,60679,110660,60897
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1039,ท้องถิ่นเขตวัฒนา,36929,42807,79736,87283
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1040,ท้องถิ่นเขตบางแค,88459,103538,191997,98608
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1041,ท้องถิ่นเขตหลักสี่,46410,50942,97352,63225
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1042,ท้องถิ่นเขตสายไหม,98992,113920,212912,113037
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1043,ท้องถิ่นเขตคันนายาว,43191,50111,93302,49319
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1044,ท้องถิ่นเขตสะพานสูง,44680,53132,97812,44739
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1045,ท้องถิ่นเขตวังทองหลาง,46225,56056,102281,66497
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1046,ท้องถิ่นเขตคลองสามวา,100782,114645,215427,95016
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1047,ท้องถิ่นเขตบางนา,38866,45708,84574,83277
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1048,ท้องถิ่นเขตทวีวัฒนา,37237,43579,80816,37532
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1049,ท้องถิ่นเขตทุ่งครุ,57614,66273,123887,58566
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,10,กรุงเทพมหานคร,1050,ท้องถิ่นเขตบางบอน,46570,51590,98160,54139
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1101,อำเภอเมืองสมุทรปราการ,51379,57223,108602,50362
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1102,อำเภอบางบ่อ,48994,52520,101514,53823
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1103,อำเภอบางพลี,134913,154535,289448,195019
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1104,อำเภอพระประแดง,17914,19419,37333,13803
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1105,อำเภอพระสมุทรเจดีย์,61742,67888,129630,62471
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1106,อำเภอบางเสาธง,30764,33483,64247,48930
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1181,ท้องถิ่นเทศบาลตำบลเทพารักษ์,9814,11368,21182,11695
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1183,ท้องถิ่นเทศบาลเมืองปากน้ำสมุทรปราการ,19509,22405,41914,18201
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1184,ท้องถิ่นเทศบาลตำบลบางเสาธง,9385,10429,19814,18844
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1185,ท้องถิ่นเทศบาลตำบลแหลมฟ้าผ่า,10748,11432,22180,9781
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1186,ท้องถิ่นเทศบาลตำบลพระสมุทรเจดีย์,5309,5581,10890,5782
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1187,ท้องถิ่นเทศบาลตำบลบางพลี,5515,5526,11041,2264
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1188,ท้องถิ่นเทศบาลตำบลบางบ่อ,3085,3407,6492,2528
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1189,ท้องถิ่นเทศบาลตำบลคลองสวน,1356,1389,2745,950
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1190,ท้องถิ่นเทศบาลตำบลคลองด่าน,5333,5617,10950,3360
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1191,ท้องถิ่นเทศบาลตำบลบางปู,57196,62409,119605,64786
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1192,ท้องถิ่นเทศบาลตำบลแพรกษา,12037,13851,25888,15904
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1193,ท้องถิ่นเทศบาลตำบลบางเมือง,43960,50843,94803,50925
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1194,ท้องถิ่นเทศบาลตำบลด่านสำโรง,24750,28509,53259,29496
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1195,ท้องถิ่นเทศบาลเมืองปู่เจ้าสมิงพราย,32157,34493,66650,36728
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1196,ท้องถิ่นเทศบาลตำบลสำโรงเหนือ,13658,16628,30286,31617
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1197,ท้องถิ่นเทศบาลเมืองลัดหลวง,31022,34277,65299,38806
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1198,ท้องถิ่นเทศบาลเมืองพระประแดง,3089,3445,6534,2192
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,11,สมุทรปราการ,1199,ท้องถิ่นเทศบาลนครสมุทรปราการ,21015,22603,43618,24142
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1201,อำเภอเมืองนนทบุรี,27628,32284,59912,32912
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1202,อำเภอบางกรวย,17178,20405,37583,21731
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1203,อำเภอบางใหญ่,44359,51830,96189,48515
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1204,อำเภอบางบัวทอง,50423,56694,107117,60460
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1205,อำเภอไทรน้อย,36269,40280,76549,39338
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1206,อำเภอปากเกร็ด,25715,29039,54754,28326
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1280,ท้องถิ่นเทศบาลเมืองบางเลน,8515,10049,18564,9931
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1284,ท้องถิ่นเทศบาลเมืองบางรักพัฒนา,20857,25208,46065,28104
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1285,ท้องถิ่นเทศบาลเมืองบางคูรัด,19162,22396,41558,17564
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1286,ท้องถิ่นเทศบาลเมืองเสาธงหิน,18288,22251,40539,28447
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1287,ท้องถิ่นเทศบาลเมืองบางพลับ,5766,6647,12413,7102
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1288,ท้องถิ่นเทศบาลเมืองพิมลราช,24089,28511,52600,25399
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1289,ท้องถิ่นเทศบาลเมืองศาลากลาง,11743,13946,25689,13819
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1290,ท้องถิ่นเทศบาลเมืองไทรม้า,11220,13454,24674,16118
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1291,ท้องถิ่นเทศบาลตำบลไทรน้อย,1319,1317,2636,1268
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1292,ท้องถิ่นเทศบาลเมืองบางใหญ่,6665,7461,14126,6626
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1293,ท้องถิ่นเทศบาลตำบลบางม่วง,2866,3010,5876,2797
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1294,ท้องถิ่นเทศบาลเมืองปลายบาง,22402,26652,49054,25064
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1295,ท้องถิ่นเทศบาลเมืองบางศรีเมือง,15211,17863,33074,14085
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1296,ท้องถิ่นเทศบาลเมืองบางกรวย,20196,24104,44300,23194
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1297,ท้องถิ่นเทศบาลนครปากเกร็ด,86181,101268,187449,142227
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1298,ท้องถิ่นเทศบาลนครบางบัวทอง,23953,28565,52518,28116
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,12,นนทบุรี,1299,ท้องถิ่นเทศบาลนครนนทบุรี,110984,128057,239041,154776
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,13,ปทุมธานี,1301,อำเภอเมืองปทุมธานี,49742,55006,104748,54724
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,13,ปทุมธานี,1302,อำเภอคลองหลวง,75246,83968,159214,80101
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,13,ปทุมธานี,1303,อำเภอธัญบุรี,2,1,3,1
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,13,ปทุมธานี,1304,อำเภอหนองเสือ,26512,27036,53548,18977
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,13,ปทุมธานี,1305,อำเภอลาดหลุมแก้ว,25624,26852,52476,27667
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,13,ปทุมธานี,1306,อำเภอลำลูกกา,45026,48462,93488,48768
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,13,ปทุมธานี,1307,อำเภอสามโคก,22498,24158,46656,22246
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,13,ปทุมธานี,1378,ท้องถิ่นเทศบาลตำบลคลองพระอุดม,4784,5232,10016,5395
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,13,ปทุมธานี,1379,ท้องถิ่นเทศบาลเมืองลาดสวาย,34879,40530,75409,43445
